"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Adding by keyword askjbfslg should display some results","ERROR","2021-04-22T19:57:19.328+03:00","0.0","13.4"
"Search by keyword story","Adding by keyword pancakes should display some results","SUCCESS","2021-05-09T22:32:20.068+03:00","0.0","21.86"
"Search by keyword story","Filterring by keyword sub50 should display some results","SUCCESS","2021-04-22T19:53:32.388+03:00","0.0","13.1"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-09T22:32:41.983+03:00","0.0","0.0"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-09T22:32:55.666+03:00","0.0","8.18"
"Search by keyword story","Searching by keyword askjbfslg should display some results","SUCCESS","2021-05-09T22:32:41.994+03:00","0.0","13.58"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-09T22:31:53.076+03:00","0.0","8.12"
"Search by keyword story","Searching by keyword kiwi should display the corresponding article","SUCCESS","2021-05-09T22:31:42.836+03:00","0.0","10.14"
"Search by keyword story","Searching by keyword pancakes should display some results","SUCCESS","2021-05-09T22:32:01.316+03:00","0.0","18.66"
"Search by keyword story","Searching by keyword pineapple should display the corresponding article","SUCCESS","2021-05-09T22:31:34.005+03:00","0.0","8.72"
